OBJECT;Simbad_ID;RA;DEC;Program_ID;Observation_Date;Coronography;Filter;Average_DIMM
V CM CHA;CM CHA;13:02:13.56;-76:37:57.3;1104.C-0415(F;2021-02-05;Coronography;B_H,P0-90;0.52
V CM CHA;CM CHA;13:02:13.56;-76:37:57.3;1104.C-0415(F;2021-03-17;Coronography;B_H,P0-90;0.58
HN 24;HN 24;13:04:55.55;-77:39:47.8;1104.C-0415(F;2021-02-06;Coronography;B_H,P0-90;0.49
HEN 3-854;HEN 3-854;13:05:20.47;-77:39:00.2;1104.C-0415(B;2021-02-09;Coronography;B_H,P0-90;0.5
PDS 66;PDS 66;13:22:07.25;-69:38:10.5;096.C-0523(A);2016-03-15;Coronography;B_J;1.16
PDS 66;PDS 66;13:22:07.25;-69:38:10.5;096.C-0523(A);2016-03-16;Coronography;B_H;0.94
PDS 70;PDS 70;14:08:10.08;-41:23:52.6;096.C-0333(A);2016-03-26;Coronography;B_J;1.69
PDS 70;PDS 70;14:08:10.08;-41:23:52.6;099.C-0891(B);2017-06-18;-;B_H;0.78
PDS 70;PDS 70;14:08:10.08;-41:23:52.6;099.C-0891(A);2017-08-01;-;B_J;0.65
PDS 70;PDS 70;14:08:10.08;-41:23:52.6;0102.C-0916(B;2019-08-08;Coronography;B_H;0.52
PDS 70;PDS 70;14:08:10.08;-41:23:52.6;0102.C-0916(B;2019-08-09;Coronography;B_H;1.46
SAO206462;SAO206462;15:15:48.27;-37:09:14.6;095.C-0273(D);2015-03-31;-;B_Y;0.88
SAO206462;SAO206462;15:15:48.27;-37:09:14.6;095.C-0273(A);2015-05-03;Coronography;B_J;0.71
SAO206462;SAO206462;15:15:48.27;-37:09:14.6;097.C-0885(A);2016-05-04;Coronography;B_J;0.52
SAO206462;SAO206462;15:15:48.27;-37:09:14.6;097.C-0702(A);2016-05-12;Coronography;B_J;1.82
SAO206462;SAO206462;15:15:48.27;-37:09:14.6;297.C-5023(A);2016-06-22;Coronography;B_J;0.64
SAO206462;SAO206462;15:15:48.27;-37:09:14.6;297.C-5023(A);2016-06-30;Coronography;B_J;0.37
RXJ1518.9-4050;RXJ1518.9-4050;15:18:52.79;-40:50:51.2;099.C-0147(A);2017-05-16;Coronography;B_H;1.11
SZ 65;SZ 65;15:39:27.56;-34:46:20.3;098.C-0486(A);2017-03-07;Coronography;B_H;0.56
HD 139614;HD 139614;15:40:46.22;-42:29:53.2;096.C-0248(B);2016-03-31;Coronography;B_J;1.0
HD 139614;HD 139614;15:40:46.22;-42:29:53.2;099.C-0147(B);2017-05-16;Coronography;B_H;1.11
HD 139614;HD 139614;15:40:46.22;-42:29:53.2;0101.C-0464(A;2018-06-06;-;B_H;1.03
HD 139614;HD 139614;15:40:46.22;-42:29:53.2;0101.C-0464(A;2018-06-06;Coronography;B_H;1.03
HD 139614;HD 139614;15:40:46.22;-42:29:53.2;1100.C-0481(R;2018-06-21;Coronography;B_J;0.87
SZ 68;SZ 68;15:45:12.93;-34:17:30.2;098.C-0486(A);2017-03-13;Coronography;B_H;0.6
V GW LUP;GW LUP;15:46:44.63;-34:30:34.8;1100.C-0481(Q;2018-03-01;Coronography;B_H;0.49
V HM LUP;HM LUP;15:47:50.42;-35:28:34.5;1104.C-0415(F;2021-03-12;Coronography;B_H,P0-90;0.46
GQ_LUP;GQ_LUP;15:49:12.17;-35:39:04.7;0101.C-0502(B;2018-08-15;Coronography;B_H;0.57
HD141569;HD141569;15:49:57.70;-03:55:17.5;198.C-0209(F);2017-03-21;Coronography;B_H;0.74
HD 141926;HD 141926;15:54:21.76;-55:19:43.8;099.C-0891(B);2017-06-18;Coronography;B_H;0.78
HD 142506;HD 142506;15:55:48.78;-25:12:23.0;0103.C-0470(A;2020-03-22;Coronography;B_H;1.22
IM LUP;IM LUP;15:56:09.24;-37:56:04.5;096.C-0523(A);2016-03-12;Coronography;B_J;2.17
